Auction Date,Property Address,Final Judgment,Assessed Value,Plaintiff Max Bid,Case #,Parcel ID,Case Link,Parcel Link
07/07/2026 11:00 AM ET,"10204 TURKEY OAK DRIVE NEW PORT RICHEY, 34654","$127,099.76","$265,928.00","$127,099.76",51-2025-CA-000648-CAAX-WS,31-25-17-0080-00000-0780,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-000648-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/31-25-17-0080-00000-0780
07/07/2026 11:00 AM ET,"3601 PINEHURST DR HOLIDAY, 34691","$333,102.93","$233,898.00",Hidden,51-2025-CA-002305-CAAX-WS,19-26-16-0060-00000-2350,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-002305-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/19-26-16-0060-00000-2350
07/07/2026 11:00 AM ET,"2139 ORANGE DRIVE HOLIDAY, 34691","$165,499.50","$104,684.00","$70,800.00",51-2025-CA-003041-CAAX-WS,30-26-16-0020-00000-6550,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-003041-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/30-26-16-0020-00000-6550
07/07/2026 11:00 AM ET,"4928 LAKE RIDGE LANE HOLIDAY, 34690","$276,434.34","$197,625.00",Hidden,51-2025-CA-003415-CAAX-WS,31-26-16-0030-00000-075A,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-003415-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/31-26-16-0030-00000-075A
07/07/2026 11:00 AM ET,"2332 CHANCERY DRIVE HOLIDAY, 34690","$261,845.12","$214,010.00","$134,560.00",51-2026-CA-000334-CAAX-WS,30-26-16-0050-00000-1620,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2026-CA-000334-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/30-26-16-0050-00000-1620
07/08/2026 11:00 AM ET,"3521 KIMBERLY OAKS DR HOLIDAY, 34691","$238,834.04","$160,337.00",Hidden,51-2025-CA-003351-CAAX-WS,19-26-16-006D-00000-6910,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-003351-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/19-26-16-006D-00000-6910
07/09/2026 11:00 AM ET,"3518 CHAUNCY RD HOLIDAY, 34691","$239,089.53","$167,240.00","$239,089.53",51-2025-CA-002603-CAAX-WS,25-26-15-006D-00001-0320,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-002603-CAAX-WS&bypassPage=1,https://pcpao.gov/Parcel-Details/25-26-15-006D-00001-0320
07/13/2026 11:00 AM ET,"37643 LANDIS AVENUE ZEPHYRHILLS, 33541","$168,696.26","$106,840.00",Hidden,51-2025-CA-000997-CAAX-ES,34-25-21-0090-00000-0880,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-000997-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/34-25-21-0090-00000-0880
07/13/2026 11:00 AM ET,"35552 SHADE FERN LN ZEPHYRHILLS, 33541","$374,335.34","$237,703.00","$374,335.34",51-2025-CA-003885-CAAX-ES,05-26-21-0090-00000-1260,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-003885-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/05-26-21-0090-00000-1260
07/14/2026 11:00 AM ET,"7451 TROVITA ROAD LAND O LAKES, 34637","$257,838.22","$262,885.00","$257,838.22",51-2025-CA-000302-CAAX-ES,35-25-18-0010-00AB0-0010,https://pasco.realforeclose.com//index.cfm?zaction=auction&zmethod=details&AID=51-2025-CA-000302-CAAX-ES&bypassPage=1,https://pcpao.gov/Parcel-Details/35-25-18-0010-00AB0-0010
